"При наличии клубной карточки TOP SECRET или TROLL, могу ли я получить скидку в интернет-магазине?",Скидки по клубной карточке TOP SECRET и TROLL можно получить исключительно при покупках в стационарных магазинах предъявляя продавцу клубную карточку.,https://www.topsecret.com.ru/ru-RU/faq
"Могу ли я внести изменения в адресные данные, которые я указал во время регистрации?","Да, изменения в свои адресные данные внести можно. Для этого после входа в свой профиль Вам следует зайти в раздел „изменение профиля”.",https://www.topsecret.com.ru/ru-RU/faq
"Что делать в случае, если получу товар в поврежденном состоянии?","В случае получения поврежденного товара просим оформить рекламацию, согласно установленным правилам курьерской службы и уведомить интернет-магазин по телефону либо электронной почте.",https://www.topsecret.com.ru/ru-RU/faq
Влияет ли тип платежа на скорость реализации заказа?,"Нет, тип платежа не влияет на скорость реализации заказа. Все заказы выполняются в одинаковом режиме.",https://www.topsecret.com.ru/ru-RU/faq
Сколько длится выполнение заказа?,"Срок отгрузки товара 1-3 дней с даты оформления заказа, плюс доставка курьером – 3-5 рабочих дней до Москвы и Санкт-Петербурга, около 5-10 дней для регионов.",https://www.topsecret.com.ru/ru-RU/faq
"Что делать, если я потерял пароль?","В случае, если Вы забыли свой пароль, надо нажать кнопку „забыли пароль?” и написать свой е-mail адрес, который был указан в процессе регистрации. На указанный Вами адрес будет отправлен новый пароль.",https://www.topsecret.com.ru/ru-RU/faq
Что мне делать если я выбрал(а) платеж on-line и не заплатил(а)?,"Платёж on-line можно произвести в течение 3 дней с момента оформления заказа. Следует нажать ссылку подтверждающую оформление заказа. Там можно изменить форму оплаты на наложенный платеж. В случае, если в течение 3-х дней не будет произведен платеж, или изменение формы на оплату наложенным платежом, заказ будет автоматически аннулирован.",https://www.topsecret.com.ru/ru-RU/faq
"Как узнать, какой размер одежды мне подойдет?",Для каждого товара в карточке товара существует информация о размерах.,https://www.topsecret.com.ru/ru-RU/faq
Существует ли возможность обмена товара без денежного расчета?,"Нет, такой возможности.",https://www.topsecret.com.ru/ru-RU/faq
Можно ли заказать товар с доставкой за границу?,"Нет, к сожалению, такой возможности нет.",https://www.topsecret.com.ru/ru-RU/faq
